09-16 15:00:00.293 23970 23970 E AndroidRuntime: FATAL EXCEPTION: main
09-16 15:00:00.293 23970 23970 E AndroidRuntime: Process: br.com.wanotifkeeper, PID: 23970
09-16 15:00:00.293 23970 23970 E AndroidRuntime: java.lang.IllegalStateException: A migration from 6 to 5 was required but not found. Please provide the necessary Migration path via RoomDatabase.Builder.addMigration(Migration ...) or allow for destructive migrations via one of the RoomDatabase.Builder.fallbackToDestructiveMigration* methods.
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:808)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at br.com.wanotifkeeper.NotifDao_Impl$24.call(NotifDao_Impl.java:804)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1100)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
09-16 15:00:00.293 23970 23970 E AndroidRuntime: 	Suppressed: kotlinx.coroutines.internal.DiagnosticCoroutineContextException: [StandaloneCoroutine{Cancelling}@f587e05, Dispatchers.Main.immediate]
09-18 17:43:09.003  1810  4597 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.019  1810  1851 D SGM:FgCheckThread: noteResumeComponent(), received pkgName: com.whatsapp, userId: 0
09-18 17:43:09.020  1810  2069 D SGM:FgCheckThread: onLooperPrepared(), msg: MSG_APP_RESUME, pkgName: com.whatsapp, userid: 0
09-18 17:43:09.020  1810  2205 I CocktailBarManagerServiceContainer: handleMessage: entry what = 5
09-18 17:43:09.020  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 17:43:09.021  4426 14010 I SDHMS:k : handleResumeComponent : put = com.whatsapp, userid = 0 instanceid =180334898
09-18 17:43:09.022  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 17:43:09.025  1810  1851 D RefreshRateModeManager: Schedule to change allowedModes=baseModeId=1 allowGroupSwitching=false primary=physical: (90.0 90.0) render:  (90.0 90.0) appRequest=physical: (90.0 90.0) render:  (90.0 90.0) idleScreenRefreshRateConfig=null, mDisplayToken=android.os.BinderProxy@41e5385
09-18 17:43:09.026  1810  4597 D ActivityTaskManager: convertToTranslucent, r=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}, under=ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523}, under.returningOptions=null, caller=android.app.IActivityClientController$Stub.onTransact:1148 com.android.server.wm.ActivityClientController.onTransact:1 android.os.Binder.execTransactInternal:1514 
09-18 17:43:09.026  1810  4597 D WindowManagerServiceExt: updateTaskbarTargetIfNeeded: cn=ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} occludesParent=false isInSplitScreenMode=false
09-18 17:43:09.026  1810  4597 D WindowManager: rotationForOrientation, orientationSource=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}
09-18 17:43:09.027  1810  4597 V WindowManager: Collecting in transition 4628: ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523}, caller=com.android.server.wm.TransitionController.collect:7 com.android.server.wm.ActivityRecord.setVisibility:132 com.android.server.wm.ActivityRecord.makeVisibleIfNeeded:36 com.android.server.wm.EnsureActivitiesVisibleHelper.process:537 com.android.server.wm.TaskFragment.updateActivityVisibilities:12 
09-18 17:43:09.027  1810  4597 V WindowManager: Collecting in transition 4628: ActivityRecord{73351202 u0 com.whatsapp/.Conversation t21523}, caller=com.android.server.wm.TransitionController.collect:7 com.android.server.wm.ActivityRecord.setVisibility:132 com.android.server.wm.ActivityRecord.makeVisibleIfNeeded:36 com.android.server.wm.EnsureActivitiesVisibleHelper.process:537 com.android.server.wm.TaskFragment.updateActivityVisibilities:12 
09-18 17:43:09.033  1810  1852 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.048  1810  2040 I CameraService_proxy: wmi.removeRefreshRateRangeForPackage clientName = com.whatsapp
09-18 17:43:09.051  1810  1852 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.057  1810  4590 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.064  1810  4590 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.085  1810  1849 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.186  1810  2040 D WindowManager: prepareSync <SYNC_STATE_WAITING_FOR_DRAW>, mPrepareSyncSeqId=0, win=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}
09-18 17:43:09.201  1810  4593 D CoreBackPreview: Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@41a7b4a, mPriority=0, mIsAnimationCallback=false, mOverrideBehavior=0}
09-18 17:43:09.207  1810  4593 D WindowManager: makeSurface duration=1 name=com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity$_14317
09-18 17:43:09.208  1810  4593 D BLASTSyncEngine: SyncGroup 4628:  Unfinished container: ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} mSyncState=2
09-18 17:43:09.208  1810  4593 D WindowManager: Changing focus from null to Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} displayId=0 Callers=com.android.server.wm.WindowManagerService.relayoutWindow:1350 com.android.server.wm.Session.relayout:30 android.view.IWindowSession$Stub.onTransact:840 com.android.server.wm.Session.onTransact:1 
09-18 17:43:09.211  1810  4593 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {4560001 mType=navigationBars initiallyVisible mSurfacePosition=Point(0, 2187) mInsetsHint=Insets{left=0, top=0, right=0, bottom=153}}, target=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.InsetsPolicy.updateBarControlTarget:216 com.android.server.wm.DisplayPolicy.updateSystemBarAttributes:439 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:358 com.android.server.wm.WindowManagerService.relayoutWindow:1350 
09-18 17:43:09.214  1810  4593 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {827c0000 mType=statusBars initiallyVisible mSurfacePosition=Point(0, 0) mInsetsHint=Insets{left=0, top=100, right=0, bottom=0}}, target=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.InsetsPolicy.updateBarControlTarget:203 com.android.server.wm.DisplayPolicy.updateSystemBarAttributes:439 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:358 com.android.server.wm.WindowManagerService.relayoutWindow:1350 
09-18 17:43:09.214  1810  4593 V SystemKeyManager: updateFocusedWindow() is called, com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity
09-18 17:43:09.217  1810  2026 I CameraService_worker: DeviceInjector, onSemCameraDeviceRawStatus 0 1
09-18 17:43:09.217  1810  2026 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.sendBroadcast:1374 com.samsung.android.camera.scpm.ScpmReceiver$3.onCameraDeviceStateChanged:113 android.hardware.camera2.CameraManager$CameraManagerGlobal$3.run:4060 android.os.Handler.handleCallback:1070 android.os.Handler.dispatchMessage:125 
09-18 17:43:09.240  1810  3662 D WindowManager: finishDrawingWindow: Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} mDrawState=DRAW_PENDING seqId=0
09-18 17:43:09.242  1810  1852 V WindowManager: performShowLocked: mDrawState=HAS_DRAWN in Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}
09-18 17:43:09.242  1810  1852 D WindowManagerServiceExt: updateTaskbarTargetIfNeeded: cn=ComponentInfo{com.whatsapp/com.whatsapp.Conversation} occludesParent=true isInSplitScreenMode=false
09-18 17:43:09.242  1810  1852 D ChangeTransitionController:    ChangeInfo{15f2d84 container=ActivityRecord{73351202 u0 com.whatsapp/.Conversation t21523} flags=0x0}
09-18 17:43:09.242  1810  1852 D ChangeTransitionController:    ChangeInfo{d7cc96d container=ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523} flags=0x0}
09-18 17:43:09.242  1810  1852 D ChangeTransitionController:    ChangeInfo{858a571 container=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} flags=0x0}
09-18 17:43:09.242  1810  1852 D ChangeTransitionController:    ChangeInfo{68d0f56 container=Task{e64dab3 #21523 type=standard A=10329:com.whatsapp} flags=0x0}
09-18 17:43:09.242  1810  1852 V WindowManager: Start calculating TransitionInfo based on participants: {ActivityRecord{73351202 u0 com.whatsapp/.Conversation t21523}, ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523}, ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}}
09-18 17:43:09.242  1810  1852 V WindowManager:   Final targets: [ChangeInfo{858a571 container=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} flags=0x0}]
09-18 17:43:09.247  1810  1852 V WindowManager:         {m=OPEN f=TRANSLUCENT|FILLS_TASK|IS_ACTIVITY|EDGE_EXTENSION_RESTRICTION leash=Surface(name=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}#101926)/@0xacf29a2 sb=Rect(0, 0 - 0, 0) eb=Rect(0, 0 - 1080, 2340) epz=Point(1080, 2340) d=-1->0 r=-1->0:-1 activity=ActivityTransitionInfo { component = ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, taskId = 21523, appCompatTransitionInfo = null } opt={t=CUSTOM enterResId=2130772020 changeResId=0 exitResId=0 mUserId=0} inset=Rect(0, 0 - 0, 0) taskIdForActivity=21523}
09-18 17:43:09.249  1810  1852 I ActivityTaskManager: done cause=notifyTransitionStarting drawn timestamp=404789242142354 info=TransitionInfo{e639df0 a=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} r=null d=true}
09-18 17:43:09.249  1810  1848 I Pageboost: Launch time gathered : pid 14317 com.whatsapp 288
09-18 17:43:09.255  2576  2620 V WindowManagerShell:         {m=OPEN f=TRANSLUCENT|FILLS_TASK|IS_ACTIVITY|EDGE_EXTENSION_RESTRICTION leash=Surface(name=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}#101926)/@0xfdbbd33 sb=Rect(0, 0 - 0, 0) eb=Rect(0, 0 - 1080, 2340) epz=Point(1080, 2340) d=-1->0 r=-1->0:-1 activity=ActivityTransitionInfo { component = ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, taskId = 21523, appCompatTransitionInfo = null } opt={t=CUSTOM enterResId=2130772020 changeResId=0 exitResId=0 mUserId=0} inset=Rect(0, 0 - 0, 0) taskIdForActivity=21523}
09-18 17:43:09.255  1810  1848 V WindowManager: Sent Transition (#4628) createdAt=09-18 17:43:08.957 via request=TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=21523 effectiveUid=10329 displayId=0 isRunning=true baseIntent=Intent { act=android.intent.action.VIEW flg=0x10000000 cmp=com.whatsapp/.Conversation } baseActivity=ComponentInfo{com.whatsapp/com.whatsapp.Conversation} topActivity=ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} origActivity=null realActivity=ComponentInfo{com.whatsapp/com.whatsapp.Conversation} numActivities=3 lastActiveTime=511469983 supportsMultiWindow=true resizeMode=2 isResizeable=true minWidth=-1 minHeight=-1 maxWidth=-1 maxHeight=-1 defaultMinSize=220 desktopDefaultMinSize=304 token=WCT{RemoteToken{bb9c88a Task{e64dab3 #21523 type=standard A=10329:com.whatsapp}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 0 - 0, 0) topActivityInfo=ActivityInfo{2298f69 com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} launchCookies=[android.os.BinderProxy@773e356] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false isActivityStackTransparent=false lastNonFullscreenBounds=Rect(86, 565 - 994, 1722) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=503 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false isLeafTask= true eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityAppBounds=Rect(0, 100 - 1080, 2187) isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { cameraCompatMode=undefinedundefined} topActivityBounds=null topActivityInDisplayCompat=false showForceRotationButton=false forceRotationButtonState=0aspectRatioToRestore0 singleTapFromLetterbox=false topNonResizableActivityAspectRatio=-1.0} topActivityMainWindowFrame=null originallySupportedMultiWindow=true hasWallpaper=false rootAffinity=10329:com.whatsapp isTopTaskInStage=false CoverLauncherWidgetTask=false LaunchedFromAppsCoverLauncherTask=false LaunchedFromMultistarCoverLauncherTask=false isAllowedSeamlessRotation=false isTopTransparentActivity=false isAliasManaged=false hasConfigChanged=false isAiKeyRemoveAppTask=false lastDesktopWindowingBounds=null lastExternalDesktopWindowingBounds=nullisPackageNightModeActive=true safeCutoutInsets=null isAppBubble=false}, pipChange = null, remoteTransitionInfo = null, displayChange = null, requestedLocation = null, userChange = null, windowingLayerChange = null, flags = 0, debugId = 4628 }
09-18 17:43:09.255  1810  1848 V WindowManager:     startWCT=WindowContainerTransaction { changes= {} hops= [] errorCallbackToken=null taskFragmentOrganizer=null }
09-18 17:43:09.256  1810  1848 V WindowManager:         {m=OPEN f=TRANSLUCENT|FILLS_TASK|IS_ACTIVITY|EDGE_EXTENSION_RESTRICTION leash=Surface(name=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}#101926)/@0xacf29a2 sb=Rect(0, 0 - 0, 0) eb=Rect(0, 0 - 1080, 2340) epz=Point(1080, 2340) d=-1->0 r=-1->0:-1 activity=ActivityTransitionInfo { component = ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, taskId = 21523, appCompatTransitionInfo = null } opt={t=CUSTOM enterResId=2130772020 changeResId=0 exitResId=0 mUserId=0} inset=Rect(0, 0 - 0, 0) taskIdForActivity=21523}
09-18 17:43:09.260  2576  2620 V WindowManagerShell: Transition doesn't have explicit remote, search filters for match for {id=4628 t=OPEN f=0x0 trk=0 r=[0@Point(0, 0)] c=[{m=OPEN f=TRANSLUCENT|FILLS_TASK|IS_ACTIVITY|EDGE_EXTENSION_RESTRICTION leash=Surface(name=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}#101926)/@0xfdbbd33 sb=Rect(0, 0 - 0, 0) eb=Rect(0, 0 - 1080, 2340) epz=Point(1080, 2340) d=-1->0 r=-1->0:-1 activity=ActivityTransitionInfo { component = ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, taskId = 21523, appCompatTransitionInfo = null } opt={t=CUSTOM enterResId=2130772020 changeResId=0 exitResId=0 mUserId=0} inset=Rect(0, 0 - 0, 0) taskIdForActivity=21523}]}
09-18 17:43:09.261  2576  2620 V WindowManagerShell: start default transition animation, info = {id=4628 t=OPEN f=0x0 trk=0 r=[0@Point(0, 0)] c=[{m=OPEN f=TRANSLUCENT|FILLS_TASK|IS_ACTIVITY|EDGE_EXTENSION_RESTRICTION leash=Surface(name=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}#101926)/@0xfdbbd33 sb=Rect(0, 0 - 0, 0) eb=Rect(0, 0 - 1080, 2340) epz=Point(1080, 2340) d=-1->0 r=-1->0:-1 activity=ActivityTransitionInfo { component = ComponentInfo{com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, taskId = 21523, appCompatTransitionInfo = null } opt={t=CUSTOM enterResId=2130772020 changeResId=0 exitResId=0 mUserId=0} inset=Rect(0, 0 - 0, 0) taskIdForActivity=21523}]}
09-18 17:43:09.261  2576  2620 V ShellTransitions: Loading animations: picked package=com.whatsapp
09-18 17:43:09.366  1810  4590 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {3 mType=ime mSurfacePosition=Point(0, 100) mInsetsHint=Insets{left=0, top=0, right=0, bottom=915}}, target=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.ImeInsetsSourceProvider.updateControlForTarget:23 com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.DisplayContent.updateImeControlTarget:48 com.android.server.wm.DisplayContent.updateImeInputAndControlTarget:273 com.android.server.wm.WindowManagerService$LocalService.updateImeTargetWindow:81 
09-18 17:43:09.369  1810  3662 W PackageConfigPersister: App-specific configuration not found for packageName: com.whatsapp and userId: 0
09-18 17:43:09.390  1810  3662 V WindowManager:    ChangeInfo{15f2d84 container=ActivityRecord{73351202 u0 com.whatsapp/.Conversation t21523} flags=0x0}
09-18 17:43:09.390  1810  3662 V WindowManager:    ChangeInfo{d7cc96d container=ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523} flags=0x0}
09-18 17:43:09.390  1810  3662 V WindowManager:    ChangeInfo{858a571 container=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} flags=0x0}
09-18 17:43:09.390  1810  3662 V WindowManager:    ChangeInfo{68d0f56 container=Task{e64dab3 #21523 type=standard A=10329:com.whatsapp} flags=0x0}
09-18 17:43:09.393  1810  3662 D ChangeTransitionController:    ChangeInfo{15f2d84 container=ActivityRecord{73351202 u0 com.whatsapp/.Conversation t21523} flags=0x0}
09-18 17:43:09.393  1810  3662 D ChangeTransitionController:    ChangeInfo{d7cc96d container=ActivityRecord{146817544 u0 com.whatsapp/.camera.ui.CameraActivity t21523} flags=0x0}
09-18 17:43:09.393  1810  3662 D ChangeTransitionController:    ChangeInfo{858a571 container=ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523} flags=0x0}
09-18 17:43:09.393  1810  3662 D ChangeTransitionController:    ChangeInfo{68d0f56 container=Task{e64dab3 #21523 type=standard A=10329:com.whatsapp} flags=0x0}
09-18 17:43:09.455  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10545, drop=false
09-18 17:43:09.457  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10500, drop=false
09-18 17:43:09.457  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10279, drop=false
09-18 17:43:09.867  1810  1851 D SGM:GameManager: identifyForegroundApp. com.whatsapp, mCurrentUserId: 0, callerUserId: 0
09-18 17:43:09.867  1810  1851 D SGM:SemGameManager: isForegroundGame(), ret=false
09-18 17:43:10.469  1810  1810 D OlafRestriction:  sending trigger onRestrictionStateChanged msg.
09-18 17:43:10.480  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10279, drop=false
09-18 17:43:10.482  1810  3534 D FreecessController: UFZ : com.google.android.ext.services(10279) [3523] reason: Binder(1)-android.service.notification.INotificatio
09-18 17:43:10.489  1810  3566 D FreecessController: UFZ : com.artech.eaplic.havan(10500) [28124] reason: Binder(1)-android.service.notification.INotificatio
09-18 17:43:10.491  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10545, drop=false
09-18 17:43:10.494  1810  3534 D FreecessController: UFZ : br.com.wanotifkeeper(10545) [17990] reason: Binder(1)-android.service.notification.INotificatio
09-18 17:43:10.497  1810  3566 D FreecessController: UFZ : br.com.wanotifkeeper(10545) [17990] reason: Binder(1)-android.service.notification.INotificatio
09-18 17:43:11.049  1810  3566 D FreecessHandler: skipping freeze com.whatsapp.w4b(10328) result : 7
09-18 17:43:11.465  1810  3536 D ActivityManager: unpendingScheduleServiceRestart: u=10500, drop=false
09-18 17:43:11.469  1810  3534 D FreecessController: UFZ : com.artech.eaplic.havan(10500) [28124] reason: Binder(1)-android.service.notification.INotificatio
09-18 17:43:11.558  1810  4590 D WindowManager: Changing focus from Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} to Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} displayId=0 Callers=com.android.server.wm.WindowManagerService.addWindowInner:621 com.android.server.wm.WindowManagerService.addWindow:1954 com.android.server.wm.Session.addToDisplayAsUser:15 android.view.IWindowSession$Stub.onTransact:782 
09-18 17:43:11.560  1810  4590 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {4560001 mType=navigationBars initiallyVisible mSurfacePosition=Point(0, 2187) mInsetsHint=Insets{left=0, top=0, right=0, bottom=153}}, target=Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.InsetsPolicy.updateBarControlTarget:216 com.android.server.wm.DisplayPolicy.updateSystemBarAttributes:439 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:358 com.android.server.wm.WindowManagerService.addWindowInner:621 
09-18 17:43:11.561  1810  4590 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {827c0000 mType=statusBars initiallyVisible mSurfacePosition=Point(0, 0) mInsetsHint=Insets{left=0, top=100, right=0, bottom=0}}, target=Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.InsetsPolicy.updateBarControlTarget:203 com.android.server.wm.DisplayPolicy.updateSystemBarAttributes:439 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:358 com.android.server.wm.WindowManagerService.addWindowInner:621 
09-18 17:43:11.562  1810  4590 D WindowManager: updateSystemBarAttributes: displayId=0, focusedCanBeNavColorWin=false, win=Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, navColorWin=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, caller=com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:358 com.android.server.wm.WindowManagerService.addWindowInner:621 com.android.server.wm.WindowManagerService.addWindow:1954 
09-18 17:43:11.562  1810  4590 V SystemKeyManager: updateFocusedWindow() is called, com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity
09-18 17:43:11.572  1810  4590 D CoreBackPreview: Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@d40a5ac, mPriority=0, mIsAnimationCallback=false, mOverrideBehavior=0}
09-18 17:43:11.576  1810  3662 D WindowManager: makeSurface duration=1 name=com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity$_14317
09-18 17:43:11.609  1810  3662 D WindowManager: finishDrawingWindow: Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity} mDrawState=DRAW_PENDING seqId=0
09-18 17:43:11.610  1810  1852 V WindowManager: performShowLocked: mDrawState=HAS_DRAWN in Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}
09-18 17:43:11.621  1810  4590 D ContentCapturePerUserService: Notified activity assist data for activity: Token{abfb132 ActivityRecord{182678845 u0 com.whatsapp/.mediacomposer.ui.app.MediaComposerActivity t21523}} without a session Id
09-18 17:43:11.658  1810  3662 D InsetsSourceProvider: updateControlForTarget: control=InsetsSourceControl: {3 mType=ime mSurfacePosition=Point(0, 100) mInsetsHint=Insets{left=0, top=0, right=0, bottom=915}}, target=Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, from=com.android.server.wm.ImeInsetsSourceProvider.updateControlForTarget:23 com.android.server.wm.InsetsStateController.onControlTargetChanged:82 com.android.server.wm.DisplayContent.updateImeControlTarget:48 com.android.server.wm.DisplayContent.updateImeInputAndControlTarget:273 com.android.server.wm.WindowManagerService$LocalService.updateImeTargetWindow:81 
09-18 17:43:11.661  1810  2550 W PackageConfigPersister: App-specific configuration not found for packageName: com.whatsapp and userId: 0
09-18 17:43:11.662  1810  4590 D WindowManager: updateSystemBarAttributes: displayId=0, focusedCanBeNavColorWin=false, win=Window{2b2ceb2 u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, navColorWin=Window{b9e2cec u0 com.whatsapp/com.whatsapp.mediacomposer.ui.app.MediaComposerActivity}, caller=com.android.server.wm.InsetsStateController.onRequestedVisibleTypesChanged:86 com.android.server.wm.InsetsPolicy.onRequestedVisibleTypesChanged:3 com.android.server.wm.Session.updateRequestedVisibleTypes:36 
09-18 17:43:11.663  1810  1851 D InputMethodBindingController: bindCurrentInputMethodService: caller=com.android.server.inputmethod.InputMethodBindingController.bindCurrentInputMethodService:20 com.android.server.inputmethod.InputMethodManagerService.showCurrentInputLocked:151 com.android.server.inputmethod.InputMethodManagerService.showCurrentInputInternal:41 com.android.server.wm.ImeInsetsSourceProvider$$ExternalSyntheticLambda0.run:83 android.os.Handler.handleCallback:1070 android.os.Handler.dispatchMessage:125 android.os.Looper.dispatchMessage:358 android.os.Looper.loopOnce:288 android.os.Looper.loop:392 android.os.HandlerThread.run:139 
09-18 17:43:11.663  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 17:43:11.668  1810  2216 D BackgroundInstallControlService: Package event received: 0
09-18 17:43:11.668  1810  2216 D BackgroundInstallControlService: Package event received: 0
